"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 159, 0, 0, 2, 16, 177
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 12, 80
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\register.component.scss", "SCSS", 0, 0, 0, 293, 0, 0, 0, 0, 36, 329
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 8, 80
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\confirm-reset-password\confirm-reset-password.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\confirm-reset-password\confirm-reset-password.component.scss", "SCSS", 0, 0, 0, 174, 0, 0, 0, 0, 17, 191
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\confirm-reset-password\confirm-reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\confirm-reset-password\confirm-reset-password.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.html", "HTML", 0, 0, 0, 0, 0, 73, 0, 0, 8, 81
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.scss", "SCSS", 0, 0, 0, 174, 0, 0, 0, 0, 17, 191
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\reset-password.component.scss", "SCSS", 0, 0, 0, 176, 0, 0, 0, 0, 16, 192
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\select-avatar\avatars.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 3, 51
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.scss", "SCSS", 0, 0, 0, 194, 0, 0, 0, 0, 14, 208
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\dev\developer-akademie\projects\dabubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 7, 86
"d:\dev\developer-akademie\projects\dabubble\src\app\main-component\main-component.component.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 4, 5, 38
"d:\dev\developer-akademie\projects\dabubble\src\app\main-component\main-component.component.scss", "SCSS", 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"d:\dev\developer-akademie\projects\dabubble\src\app\main-component\main-component.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
